Date Updated,Agency,Contracting Office Agency ID,Agency Office Name,Agency Office ID,Funding Agency Name,Funding Agency ID,Funding Office Name,Funding Office ID,Contract Date Signed,Award Status,Award Type,Modification Number,Procurement Identifier,Modification Reason, Ceiling Value , Value ,NAICS Code,NAICS Description,Performance Start Date,Product/Service Code,Product/Service Description,Description of Requirements,Vendor Entity ID,Vendor Legal Business Name,Vendor Business Types,Vendor Certifications,Congressional District,Vendor Socio-Economic Data,Vendor Zip+4,FPDS Source
2/13/25,Bureau of Land Management,9300,FMCS,933100,FEDERAL MEDIATION AND CONCILIATION S,9300,FMCS,933101,1/23/25,Final,Purchase Order,A00002,93310023P0021,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $440,000.00 "," $145,000.00 ",541612,HUMAN RESOURCES CONSULTING SERVICES (2007),9/18/23,R499,SUPPORT- PROFESSIONAL: OTHER,EEO DEIA Support,KMLTRR8Y96L9,CORICHIA BRISCO ENTERPRISES LLC,"Corporate Entity, Not Tax Exempt",Self-Certified Small Disadvantaged Business,ARKANSAS 02,"Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business",722066999,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/26/25,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,CORPORATION FOR NTL COMM SERVICE,95332A,CORPORATION FOR NATIONAL AND COMM,9577,CORPORATION FOR NTL COMM SERVICE,95332A,2/25/25,Final,Delivery/Task Order,P00006,95332A22F00018,CLOSE OUT," $394,437.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/29/22,R499,SUPPORT- PROFESSIONAL: OTHER,Requesting Closeout of Task Order and Deobligation of funds.,PHV8CYF3CNS3,"M POWERED STRATEGIES, INC.","Corporate Entity, Not Tax Exempt",SBA Certified HUBZone Firm,VIRGINIA 08,,220463222,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00018&modNumber=P00006&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD
2/26/25,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,CORPORATION FOR NTL COMM SERVICE,95332A,CORPORATION FOR NATIONAL AND COMM,9577,CORPORATION FOR NTL COMM SERVICE,95332A,2/25/25,Final,Delivery/Task Order,P00007,95332A22F00023,CLOSE OUT," $3,204,278.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/30/22,R499,SUPPORT- PROFESSIONAL: OTHER,"Modernization Professional Services (Org Change Management and
(Limit 250 characters) Business Process Reengineering)",PHV8CYF3CNS3,"M POWERED STRATEGIES, INC.","Corporate Entity, Not Tax Exempt",SBA Certified HUBZone Firm,VIRGINIA 08,,220463222,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD
2/25/25,Commodity Futures Trading Commission,9507,COMMODITY FUTURES TRADING COMM,9523ZY,COMMODITY FUTURES TRADING COMMISS,9507,COMMODITY FUTURES TRADING COMM,9523ZY,2/24/25,Final,Purchase Order,P00003,9523ZY22P0041,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $41,106.00 ", $-   ,511110,NEWSPAPER PUBLISHERS,6/24/22,7630,NEWSPAPERS AND PERIODICALS,New York Times- Online subscription,LZX3ZR9FFTJ1,THE NEW YORK TIMES COMPANY,"Corporate Entity, Not Tax Exempt",,NEW YORK 12,,100181618,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/26/25,Commodity Futures Trading Commission,9507,COMMODITY FUTURES TRADING COMM,9523ZY,COMMODITY FUTURES TRADING COMMISS,9507,COMMODITY FUTURES TRADING COMM,9523ZY,2/25/25,Final,Definitive Contract,P00004,9523ZY23C0032,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $443,742.00 ", $-   ,541618,OTHER MANAGEMENT CONSULTING SERVICES,9/28/23,R499,SUPPORT- PROFESSIONAL: OTHER,DEIA Inclusive Leadership Training For Supervisors,DD4AV9GA3B85,"GOVERNMENT SOLUTIONS GROUP, LL","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",OKLAHOMA 04,"American Indian Owned
Minority-Owned Business
Native American Owned
Tribally Owned Firm",730711166,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/13/25,Commodity Futures Trading Commission,9507,COMMODITY FUTURES TRADING COMM,9523ZY,COMMODITY FUTURES TRADING COMMISS,9507,COMMODITY FUTURES TRADING COMM,9523ZY,2/24/25,Final,Purchase Order,P00004,9523ZY21P0041,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $255,863.00 "," $60,373.00 ",511110,NEWSPAPER PUBLISHERS,9/30/21,7630,NEWSPAPERS AND PERIODICALS,Subscription to Politico Pro,T8JGE1LE8933,"POLITICO, LLC",Partnership or Limited Liability Partnership,,VIRGINIA 08,,222093927,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Delivery/Task Order,P00001,20343024F00049,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $45,321.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,8/12/24,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,New Relic License Renewal,XK11LLUL61A7,"NEW TECH SOLUTIONS, INC.","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",CALIFORNIA 17,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned",945386355,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00049&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Delivery/Task Order,P00001,2036 20343024F00043,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $54,124.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,7/1/24,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,Maintenance Renewal for Matlab Licenses,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.","Corporate Entity, Not Tax Exempt",,NEW HAMPSHIRE 02,,037662617,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00043&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC80B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Delivery/Task Order,P00001,20343024F00025,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $56,544.00 ", $-   ,334111,ELECTRONIC COMPUTER MANUFACTURING,5/29/24,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,Rosetta Stone Catalyst Bronze Software,DQ6RYNAB8MJ7,"THE WINVALE GROUP, LLC","For Profit Organization
Subchapter S Corporation
Limited Liability Corporation",,VIRGINIA 01,,232331318,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00025&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA23D007Q&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Delivery/Task Order,P00001,2036 20343024F00016,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $72,154.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,3/21/24,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,Provar License renewal,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.","Corporate Entity, Not Tax Exempt",SBA Certified HUBZone Firm,VIRGINIA 02,"Service-Disabled Veteran-Owned Business
Veteran-Owned Business",234515898,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00016&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD
