Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/13/25,BUREAU OF LAND MANAGEMENT,EEO DEIA Support,"$440,000 ",Purchase Order,Final,93310023P0021,A00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),1/23/25,9300,933100,FMCS,KMLTRR8Y96L9,CORICHIA BRISCO ENTERPRISES LLC,ARKANSAS 02,722066999,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R499,SUPPORT- PROFESSIONAL: OTHER,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/26/25,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Modernization Professional Services (Org Change Management and
(Limit 250 characters) Business Process Reengineering)","$3,204,278 ",Delivery/Task Order,Final,95332A22F00023,P00007,CLOSE OUT,2/25/25,9577,95332A,CORPORATION FOR NTL COMM SERVICE,PHV8CYF3CNS3,"M POWERED STRATEGIES, INC.",VIRGINIA 08,220463222,"Corporate Entity, Not Tax Exempt",,SBA Certified HUBZone Firm,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD
2/20/25,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,WESTLAW PRECISION SUBSCRIPTION-OPTION YEAR I,"$199,305 ",Purchase Order,Final,95044124P0006,P00001,EXERCISE AN OPTION,10/2/24,9518,950441,U.S. ABILITYONE COMMISSION,L997DB4PEJL8,WEST PUBLISHING CORPORATION,MINNESOTA 02,551231340,"Corporate Entity, Not Tax Exempt
Manufacturer of Goods
For Profit Organization
Foreign Owned",,,R422,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUB,519210,LIBRARIES AND ARCHIVES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9518&PIID=95044124P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/13/25,COMMODITY FUTURES TRADING COMMISSION,Subscription to Politico Pro,"$255,863 ",Purchase Order,Final,9523ZY21P0041,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,COMMODITY FUTURES TRADING COMMISSION,FT.com,"$188,073 ",Purchase Order,Final,9507,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,MS65WL9QL8F5,FINANCIAL TIMES LIMITED(THE),,EC4M 9BT,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,513120,PERIODICAL PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24P0043&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,COMMODITY FUTURES TRADING COMMISSION,online subscription to the Wall Street Journal.,"$169,259 ",Purchase Order,Final,9523ZY22P0064,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,Q34UKAD7ZCB4,DOW JONES & CO INC,,10036,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0064&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/25/25,COMMODITY FUTURES TRADING COMMISSION,New York Times- Online subscription,"$41,106 ",Purchase Order,Final,9523ZY22P0041,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,LZX3ZR9FFTJ1,THE NEW YORK TIMES COMPANY,NEW YORK 12,100181618,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/26/25,COMMODITY FUTURES TRADING COMMISSION,DEIA Inclusive Leadership Training For Supervisors,"$443,742 ",Definitive Contract,Final,9523ZY23C0032,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,DD4AV9GA3B85,"GOVERNMENT SOLUTIONS GROUP, LL",OKLAHOMA 04,730711166,"Corporate Entity, Not Tax Exempt","American Indian Owned
Minority-Owned Business
Native American Owned
Tribally Owned Firm","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R499,SUPPORT- PROFESSIONAL: OTHER,541618,OTHER MANAGEMENT CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/27/25,COMMODITY FUTURES TRADING COMMISSION,Bloomberg Law Subscription Renewal,"$194,759 ",Delivery/Task Order,Final,9523ZY24F0008,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,KG5PWYBKVCA5,"BLOOMBERG INDUSTRY GROUP, INC.",VIRGINIA 08,222024506,"Corporate Entity, Not Tax Exempt",,,DH10,IT AND TELECOM - PLATFORM AS A SERVICE: DATABA,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0008&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0068&contractType=AWARD
2/28/25,COMMODITY FUTURES TRADING COMMISSION,INTEGRATED MARKETING SUPPORT FOR THE OFFICE OF CUSTOMER EDUCATION,"$1,410,518 ",BPA Call,Final,9507 9523ZY25F0002,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,SUNNT37THW97,CROSBY MARKETING COMMUNICATIO,MARYLAND 03,214011540,"Corporate Entity, Not Tax Exempt",,,R701,SUPPORT- MANAGEMENT: ADVERTISING,541810,ADVERTISING AGENCIES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY25F0002&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0004&contractType=AWARD
1/29/25,CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support - Psychological Safety - Termination,"$9,999,999 ",BPA,Final,955F9531CB24A0009,P00001,CLOSE OUT,1/27/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,C2DGWDQUC8L5,NEUROLEADERSHIP INSTITUTE INC.,NEW YORK 10,100061428,"Corporate Entity, Not Tax Exempt",,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV
1/29/25,CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support - DEIA Training Termination,"$9,999,999 ",BPA,Final,955F9531CB24A0008,P00001,CLOSE OUT,1/28/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,TMM2M1FJMLD5,CULTUREPOINT LLC,VIRGINIA 08,223032539,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV
2/11/25,CONSUMER FINANCIAL PROTECTION BUREAU,Politico Pro,"$635,375 ",Purchase Order,Final,955F9531CB25P0012,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PR,516210,"MEDIA STREAMING DISTRIBUTION SERVICES, SOCIA",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,CONSUMER FINANCIAL PROTECTION BUREAU,CQ RollCall,"$299,250 ",Delivery/Task Order,Final,955F9531CB25F0039,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,FMHKL71EGBX7,"FISCALNOTE, INC.",98,200042460,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD
2/11/25,CONSUMER FINANCIAL PROTECTION BUREAU,CQ Roll Call subscription - termination for convenience,"$245,616 ",Delivery/Task Order,Final,955F9531CB20F0046,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,N8K7N7GJAZ73,"CQ-ROLL CALL, INC.",DISTRICT OF COLUMBIA 98,200064061,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0046&modNumber=P00008&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD
2/11/25,CONSUMER FINANCIAL PROTECTION BUREAU,Wall Street Journal Sbscription,"$216,665 ",Purchase Order,Final,955F9531CB24P0017,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,Q34UKAD7ZCB4,DOW JONES & CO INC,NEW YORK 12,100368711,"Corporate Entity, Not Tax Exempt",,,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
