Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
BUREAU OF LAND MANAGEMENT,EEO DEIA SUPPORT,2/13/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$440,000 ",Purchase Order,Final,93310023P0021,A00003,CLOSE OUT,2/11/25,9300,933100,FMCS,9300,FEDERAL MEDIATION AND CONCILIATION S,933101,FMCS,KMLTRR8Y96L9,CORICHIA BRISCO ENTERPRISES LLC,ARKANSAS 02,722066999,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,9/18/23,,,R499,SUPPORT- PROFESSIONAL: OTHER,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),EEO DEIA Support,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CHANGE MANAGEMENT AND BUSINESS PROCESS REENGINEERING PROFESSIONAL SERVICES.,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9577&PIID=95332A22F00023&modNumber=P00007&idvAgencyID=&idvPIID=GS00F170CA&contractType=AWARD,"$3,204,278 ",Delivery/Task Order,Final,95332A22F00023,P00007,CLOSE OUT,2/25/25,9577,95332A,CORPORATION FOR NTL COMM SERVICE,9577,CORPORATION FOR NATIONAL AND COMM,95332A,CORPORATION FOR NTL COMM SERVICE,PHV8CYF3CNS3,"M POWERED STRATEGIES, INC.",VIRGINIA 08,220463222,"Corporate Entity, Not Tax Exempt",For Profit Organization,SBA Certified HUBZone Firm,9/30/22,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Modernization Professional Services (Org Change Management and
(Limit 250 characters) Business Process Reengineering)",
COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,Legal Database that allows lawyers to conduct research and prepare for litigation,2/20/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9518&PIID=95044124P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$199,305 ",Purchase Order,Final,95044124P0006,P00001,EXERCISE AN OPTION,10/2/24,9518,950441,U.S. ABILITYONE COMMISSION,9518,COMMITTEE FOR PURCHASE FROM PEOP,950441,U.S. ABILITYONE COMMISSION,L997DB4PEJL8,WEST PUBLISHING CORPORATION,MINNESOTA 02,551231340,"Corporate Entity, Not Tax Exempt
Manufacturer of Goods",,,10/1/23,,,R422,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PU,519210,LIBRARIES AND ARCHIVES,WESTLAW PRECISION SUBSCRIPTION-OPTION YEAR I,
COMMODITY FUTURES TRADING COMMISSION,Annual subscription to Politico Pro,2/13/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$255,863 ",Purchase Order,Final,9523ZY21P0041,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,9/30/21,,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,Subscription to Politico Pro,
COMMODITY FUTURES TRADING COMMISSION,FT.COM SUBSCRIPTION,2/25/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24P0043&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$188,073 ",Purchase Order,Final,9523ZY24P0043,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,MS65WL9QL8F5,FINANCIAL TIMES LIMITED(THE),,EC4M 9BT,"Corporate Entity, Not Tax Exempt","For Profit Organization
Foreign Owned",,8/1/24,,,7630,NEWSPAPERS AND PERIODICALS,513120,PERIODICAL PUBLISHERS,FT.com,
COMMODITY FUTURES TRADING COMMISSION,RENEW ONLINE SUBSCRIPTION TO THE WALL STREET JOURNAL.,2/25/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0064&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$169,259 ",Purchase Order,Final,9507,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,Q34UKAD7ZCB4,DOW JONES & CO INC,,10036,"Corporate Entity, Not Tax Exempt",,,9/24/22,,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,online subscription to the Wall Street Journal.,
COMMODITY FUTURES TRADING COMMISSION,ONLINE SUBSCRIPTION TO THE NEW YORK TIMES.,2/25/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$41,106 ",Purchase Order,Final,9523ZY22P0041,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,LZX3ZR9FFTJ1,THE NEW YORK TIMES COMPANY,NEW YORK 12,100181618,"Corporate Entity, Not Tax Exempt",,,6/24/22,,,7630,NEWSPAPERS AND PERIODICALS,511110,NEWSPAPER PUBLISHERS,New York Times- Online subscription,
COMMODITY FUTURES TRADING COMMISSION,DEIA INCLUSIVE LEADERSHIP TRAINING FOR SUPERVISORS,2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0032&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$443,742 ",Definitive Contract,Final,9523ZY23C0032,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,DD4AV9GA3B85,"GOVERNMENT SOLUTIONS GROUP, LL",OKLAHOMA 04,730711166,"Corporate Entity, Not Tax Exempt","American Indian Owned
Minority-Owned Business
Native American Owned
Tribally Owned Firm","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",9/28/23,,,R499,SUPPORT- PROFESSIONAL: OTHER,541618,OTHER MANAGEMENT CONSULTING SERVICES,DEIA Inclusive Leadership Training For Supervisors,
COMMODITY FUTURES TRADING COMMISSION,BLOOMBERG LAW SUBSCRIPTION RENEWAL,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0008&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0068&contractType=AWARD,"$194,760 ",Delivery/Task Order,Final,9523ZY24F0008,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,KG5PWYBKVCA5,"BLOOMBERG INDUSTRY GROUP, INC.",VIRGINIA 08,222024506,"Corporate Entity, Not Tax Exempt",,,2/1/24,,,DH10,IT AND TELECOM - PLATFORM AS A SERVICE: DATABA,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,Bloomberg Law Subscription Renewal,
COMMODITY FUTURES TRADING COMMISSION,INTEGRATED MARKETING SUPPORT FOR THE OFFICE OF CUSTOMER EDUCATION AND OUTREACH,2/28/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY25F0002&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0004&contractType=AWARD,"$1,410,519 ",BPA Call,Final,9523ZY25F0002,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,SUNNT37THW97,CROSBY MARKETING COMMUNICATIO,MARYLAND 03,214011540,"Corporate Entity, Not Tax Exempt","For Profit Organization
Subchapter S Corporation",,1/13/25,,,R701,SUPPORT- MANAGEMENT: ADVERTISING,541810,ADVERTISING AGENCIES,INTEGRATED MARKETING SUPPORT FOR THE OFFICE OF CUSTOMER EDUCATION,
